title,prep_time,cook_time,total_time,ingredients,ingredients with measurement,instructions,calories,servings,images,base_ingredients
Spicy Roasted Caprese Burrata Sliders,{'minutes': '15'},{'minutes': '25'},{'minutes': '40'},"['cherry tomatoes', 'extra virgin olive oil', 'red Fresno peppers, sliced, and seeded if desired', 'fresh thyme leave', 'garlic, smashed', 'kosher salt and black pepper', 'fresh basil, roughly chopped, plus more for serving', 'mini burrata or buffalo mozzarella balls', 'brioche slider buns or thick cut brioche bread, toasted', 'balsamic vinegar, for serving']","{'cherry tomatoes': '3', 'extra virgin olive oil': '1/3', 'red Fresno peppers, sliced, and seeded if desired': '1-2', 'fresh thyme leave': '2', 'garlic, smashed': '4', 'kosher salt and black pepper': 'seasoning', 'fresh basil, roughly chopped, plus more for serving': '1/2', 'mini burrata or buffalo mozzarella balls': '16', 'brioche slider buns or thick cut brioche bread, toasted': '8', 'balsamic vinegar, for serving': 'seasoning'}","['1.\xa0Preheat oven to 400 degrees F.', 'Preheat oven to 400 degrees F.', '2. Toss the tomatoes, garlic, Fresno pepper, and olive oil on a rimmed baking sheet with salt. Transfer to the oven and roast until tomatoes are bursting and lightly browned, 25-30 minutes. Stir in the basil.', '2. Toss the tomatoes, garlic, Fresno pepper, and olive oil on a rimmed baking sheet with salt. Transfer to the oven and roast until tomatoes are bursting and lightly browned, 25-30 minutes. Stir in the basil.', '3. To assemble, spoon the tomatoes over the toasted buns. Add a ball of cheese to each bun and season with black pepper. Spoon the oil left in the roasting pan over each ball of burrata. Add a basil leaf and balsamic vinegar. Place the bun on top. Serve and enjoy.', '3. To assemble, spoon the tomatoes over the toasted buns. Add a ball of cheese to each bun and season with black pepper. Spoon the oil left in the roasting pan over each ball of burrata. Add a basil leaf and balsamic vinegar. Place the bun on top. Serve and enjoy.']",1005 kcal,8,https://www.halfbakedharvest.com/wp-content/uploads/2019/05/Roasted-Caprese-Burrata-Sliders-1-700x1050.jpg,"['tomato', 'olive oil', 'bell pepper', 'thyme', 'garlic', 'salt', 'basil', 'cheese', 'bread', 'vinegar']"
-,-,-,-,-,-,-,-,-,https://www.halfbakedharvest.com/wp-content/uploads/2018/05/Frozen-Brunch-Punch-1-700x1050.jpg,[]
Instant Pot Korean Bulgogi Tacos.,{'minutes': '15'},{'minutes': '10'},{'minutes': '25'},"['boneless chicken breasts or thighs', 'low sodium soy sauce', 'rice vinegar', 'honey', 'Gochujang (Korean chile paste)', 'fresh ginger, grated', 'garlic, minced or grated', 'fresh cilantro, chopped', 'corn or flour tortillas warmed', 'small mango, diced', 'kimchi, shredded lettuce, sliced cucumbers, crumbled feta, or queso, for serving', 'tomatillos, skins removed', 'green onions', 'Gochujang (Korean chile paste)', 'sesame oil', 'rice vinegar', 'low sodium soy sauce', 'juice of 2 limes', 'fresh cilantro', 'toasted sesame seeds']","{'boneless chicken breasts or thighs': '2', 'low sodium soy sauce': '2', 'rice vinegar': '2', 'honey': '1/4', 'Gochujang (Korean chile paste)': '2', 'fresh ginger, grated': '1', 'garlic, minced or grated': '4', 'fresh cilantro, chopped': '1/3', 'corn or flour tortillas warmed': '8-10', 'small mango, diced': '1', 'kimchi, shredded lettuce, sliced cucumbers, crumbled feta, or queso, for serving': 'seasoning', 'tomatillos, skins removed': '6', 'green onions': '6', 'sesame oil': '2', 'juice of 2 limes': 'seasoning', 'fresh cilantro': '1/4', 'toasted sesame seeds': '1'}","['1.\xa0In the bowl of your instant pot, combine the chicken, soy sauce, vinegar, honey, Gochujang, ginger, and garlic. Cover and cook on high pressure/manual for 8 minutes. Once done cooking, use the natural or quick release function and release the steam. Shred with two forks and stir in the cilantro.', 'In the bowl of your instant pot, combine the chicken, soy sauce, vinegar, honey, Gochujang, ginger, and garlic. Cover and cook on high pressure/manual for 8 minutes. Once done cooking, use the natural or quick release function and release the steam. Shred with two forks and stir in the cilantro.', '2.\xa0Meanwhile, make the salsa.\xa0Preheat the oven to broil. Line a baking sheet with parchment.', '2.', 'Meanwhile, make the salsa.', 'Preheat the oven to broil. Line a baking sheet with parchment.', '3. On the prepared baking sheet, arrange the tomatillos and green onions. Transfer to the oven and broil 3-5 minutes, until the tomatillos are lightly charred.', '3. On the prepared baking sheet, arrange the tomatillos and green onions. Transfer to the oven and broil 3-5 minutes, until the tomatillos are lightly charred.', '4. To a blender, add the roasted tomatillos, green onions,\xa0Gochujang, sesame oil, rice vinegar, soy sauce,\xa0lime juice, and cilantro. Pulse until smooth. Stir in the sesame seeds.', '4. To a blender, add the roasted tomatillos, green onions,', 'Gochujang, sesame oil, rice vinegar, soy sauce,', 'lime juice, and cilantro. Pulse until smooth. Stir in the sesame seeds.', '5. Stuff the kimchi, lettuce, and chicken into the warmed tortillas, and top with the salsa, mango, cucumbers, and cheese. Enjoy!']",975 kcal,6,https://www.halfbakedharvest.com/wp-content/uploads/2019/05/Instant-Pot-Korean-Bulgogi-BBQ-Tacos-1-700x1050.jpg,"['meat - poultry - chicken', 'soy sauce', 'vinegar', 'honey', 'chile', 'ginger', 'garlic', 'cilantro', 'tortilla', 'mango', 'cucumber', 'tomatillo', 'onion', 'sesame oil', 'lime', 'sesame seed']"
Sesame Crusted Curried Salmon Burgers with Lemony Herbs.,{'minutes': '20'},{'minutes': '10'},{'minutes': '45'},"['raw skinless salmon', 'red curry paste', 'fresh ginger, grated', 'garlic, minced or grated', 'kosher salt and crushed red pepper flakes', 'raw sesame seeds', 'extra virgin olive oil', 'salted butter', 'shallot, thinly sliced', 'zest of 1 lemon', 'fresh herbs, such as cilantro, mint, and parsley, roughly torn', 'fresh arugula', 'fresh naan, warmed', 'romaine lettuce, for serving', 'plain greek yogurt', 'crushed red pepper flakes', 'juice from 1 lemon', 'kosher salt']","{'raw skinless salmon': '1 1/2', 'red curry paste': '2', 'fresh ginger, grated': '1', 'garlic, minced or grated': '1', 'kosher salt and crushed red pepper flakes': '1', 'raw sesame seeds': '1/3', 'extra virgin olive oil': '3', 'salted butter': '2', 'shallot, thinly sliced': '1', 'zest of 1 lemon': 'seasoning', 'fresh herbs, such as cilantro, mint, and parsley, roughly torn': '2', 'fresh arugula': '1', 'fresh naan, warmed': '4', 'romaine lettuce, for serving': 'seasoning', 'plain greek yogurt': '1', 'crushed red pepper flakes': '1/2', 'juice from 1 lemon': 'seasoning', 'kosher salt': 'seasoning'}","['1. Add the salmon to the bowl of a food processor and pulse until it’s finely ground, about 30 seconds. Add the salmon to a bowl and mix with curry paste, ginger, garlic, and a pinch each of salt and crushed red pepper flakes.\xa0\xa0Form the mix into 4 burger patties.', 'Form the mix into 4 burger patties.', '2. Place the sesame seeds in a shallow bowl and coat both sides of the burgers in seeds. Cover the burgers and chill 15-30 minutes.', '2. Place the sesame seeds in a shallow bowl and coat both sides of the burgers in seeds. Cover the burgers and chill 15-30 minutes.', '3. Meanwhile, make the yogurt. Mix all ingredients in a bowl until smooth.', '3. Meanwhile, make the yogurt. Mix all ingredients in a bowl until smooth.', '4. Heat 2 tablespoon oil in a large skillet over medium heat. When the oil shimmers, add the salmon burgers and cook until the seeds are toasted and golden brown, 3-4 minutes per side. Remove from the skillet. Wipe the skillet clean.', '4. Heat 2 tablespoon oil in a large skillet over medium heat. When the oil shimmers, add the salmon burgers and cook until the seeds are toasted and golden brown, 3-4 minutes per side. Remove from the skillet. Wipe the skillet clean.', '5.\xa0Heat the remaining 1 tablespoon oil and the butter in the skillet over high heat. Add the shallots and cook, stirring occasionally until caramelized, about 3 minutes. Stir in the lemon zest. Remove the shallots to a paper towel lined plate. Reserve the oil in the pan.', '5.', 'Heat the remaining 1 tablespoon oil and the butter in the skillet over high heat. Add the shallots and cook, stirring occasionally until caramelized, about 3 minutes. Stir in the lemon zest. Remove the shallots to a paper towel lined plate. Reserve the oil in the pan.', '6. To make the herb topping. In a small bowl, toss together the herbs, arugula, reserved oil, and the crisp shallots.', '6. To make the herb topping. In a small bowl, toss together the herbs, arugula, reserved oil, and the crisp shallots.', '7. To assemble, spread\xa0each piece of naan with yogurt. Add the lettuce, then the burger, and then the herb topping. Serve and enjoy!', '7. To assemble,', 'each piece of naan with yogurt. Add the lettuce, then the burger, and then the herb topping. Serve and enjoy!']",1089 kcal,4,https://www.halfbakedharvest.com/wp-content/uploads/2019/05/Sesame-Crusted-Curried-Salmon-Burgers-with-Lemony-Herbs-1-700x1050.jpg,"['meat - fish - salmon', 'curry paste', 'ginger', 'garlic', 'red pepper flake', 'sesame seed', 'olive oil', 'butter', 'shallot', 'lemon', 'parsley', 'arugula', 'naan', 'lettuce', 'yogurt', 'salt']"
"Crispy Prosciutto, Asparagus, and Brie Toast.",{'minutes': '15'},{'minutes': '15'},{'minutes': '30'},"['extra virgin olive oil', 'thin asparagus, ends trimmed', 'garlic, minced or grated', 'kosher salt and black pepper', 'thinly sliced prosciutto, torn', 'ciabatta bread, or any crusty bread, sliced', 'brie wheel, sliced into 12 slices', 'honey', 'apple cider vinegar', 'crushed red pepper flakes', 'fresh basil leaves and thyme, for serving']","{'extra virgin olive oil': '6', 'thin asparagus, ends trimmed': '1', 'garlic, minced or grated': '3', 'kosher salt and black pepper': 'seasoning', 'thinly sliced prosciutto, torn': '3', 'ciabatta bread, or any crusty bread, sliced': '1', 'brie wheel, sliced into 12 slices': '1', 'honey': '2', 'apple cider vinegar': '1', 'crushed red pepper flakes': '1', 'fresh basil leaves and thyme, for serving': 'seasoning'}","['1. Preheat the oven to 425 degrees F.', '2. On a baking sheet, toss the asparagus and garlic with 4 tablespoons olive oil and a pinch of salt and pepper. Arrange in a single layer. Drape the prosciutto over the asparagus. Transfer to the oven and\xa0roast for 15 -20 minutes, or until the asparagus is lightly charred and the prosciutto crisp. Remove from the oven.', 'roast for 15 -20 minutes, or until the asparagus is lightly charred and the prosciutto crisp. Remove from the oven.', '3. On a separate baking sheet, drizzle the remaining 2 tablespoons olive oil over the sliced bread. Transfer to the oven and cook 5 minutes. Then flip the bread and add a slice of brie to each. Return to the oven and cook 5 more minutes or until the brie is melted.', '4. Meanwhile, make the spicy honey. Mix together the honey, vinegar, and crushed red pepper flakes.', '5. To serve, arrange the brie toast on a serving plate. Top each toast with asparagus and prosciutto. Drizzle over the spicy honey, and top with fresh thyme, basil, and salt. Serve.']",694 kcal,8,https://www.halfbakedharvest.com/wp-content/uploads/2019/04/Crispy-Prosciutto-Asparagus-and-Brie-Toast-1-700x1050.jpg,"['olive oil', 'asparagus', 'garlic', 'salt', 'meat - processed meat - prosciutto', 'bread', 'cheese', 'honey', 'vinegar', 'red pepper flake', 'basil']"
Baked Spicy Ranch Chicken Fingers with Honey Mustard.,{'minutes': '20'},{'minutes': '20'},{'minutes': '40'},"['boneless chicken tenders', 'buttermilk', 'finely crushed corn flakes', 'whole wheat, or all-purpose flour', 'dried chives', 'dried parsley', 'dried dill', 'garlic and onion powder', 'cayenne pepper, or chipotle chile powder, use more or less to taste', 'kosher salt black pepper', 'extra virgin olive oil, for brushing', 'chopped fresh chives or parsley, for serving', 'dijon mustard', 'honey', 'extra virgin olive oil', 'juice of 1/2 a lemon, plus additional wedges for serving', 'cayenne pepper', 'kosher salt and black pepper']","{'boneless chicken tenders': '2', 'buttermilk': '1', 'finely crushed corn flakes': '2', 'whole wheat, or all-purpose flour': '2', 'dried chives': '1', 'dried parsley': '1', 'dried dill': '2', 'garlic and onion powder': '1', 'cayenne pepper, or chipotle chile powder, use more or less to taste': '1', 'kosher salt black pepper': '1', 'extra virgin olive oil, for brushing': 'seasoning', 'chopped fresh chives or parsley, for serving': 'seasoning', 'dijon mustard': '1/4', 'honey': '1/4', 'extra virgin olive oil': '1/4', 'juice of 1/2 a lemon, plus additional wedges for serving': 'seasoning', 'cayenne pepper': '1/4', 'kosher salt and black pepper': 'seasoning'}","['1. Add the chicken to a gallon size zip top bag. Pour the buttermilk over the chicken. Toss well to coat.', '2. Preheat the oven to 425 degrees F. Line a baking sheet with parchment.', '3. Add the corn flake crumbs, flour, parsley, chives, dill, garlic powder, onion powder, cayenne pepper, and a pinch each of pepper to a medium sized bowl. Stir to combine.', '4. Remove each piece of chicken from the buttermilk, and dredge through the crumbs, pressing gently to adhere. Place on the prepared baking sheet. Repeat until all the chicken has been used. Make sure not to crowd your pan, if necessary use two baking sheets. Lightly brush/drizzle the chicken with olive oil. Transfer to the oven and bake for 15-20 minutes or until the chicken is cooked through.', '5. Meanwhile, make the honey mustard sauce. Combine all ingredients in a glass jar and shake or whisk until smooth and creamy.', '6. Serve the chicken topped with flaky salt, fresh chives and honey mustard for dipping. Enjoy!']",855 kcal,6,https://www.halfbakedharvest.com/wp-content/uploads/2019/04/Baked-Black-Pepper-Ranch-Chicken-Fingers-with-Honey-Mustard-1-700x1050.jpg,"['meat - poultry - chicken', 'buttermilk', 'corn', 'all purpose flour', 'chive', 'parsley', 'dill', 'garlic', 'chile', 'salt', 'olive oil', 'dijon mustard', 'honey', 'lemon', 'pepper']"
30 Minute Cajun Butter Steak and Peppers,{'minutes': '15'},{'minutes': '15'},{'minutes': '30'},"['cubed beef tenderloin or ribeye OR flank steak sliced against the gren', 'fresh thyme leaves, plus additional thyme for serving', 'smoked paprika', 'chili powder', 'dried oregano', 'onion powder', 'cayenne pepper, more or less to taste', 'kosher salt and black pepper', 'extra virgin olive oil', 'bell peppers, sliced', 'salted butter', 'garlic, minced or grated', 'juice from 1 lemon', 'steamed rice, for serving', 'avocado, sliced', 'fresh herbs such as basil, cilantro, and or mint']","{'cubed beef tenderloin or ribeye OR flank steak sliced against the gren': '1 1/2', 'fresh thyme leaves, plus additional thyme for serving': '2', 'smoked paprika': '1', 'chili powder': '2', 'dried oregano': '1', 'onion powder': '1', 'cayenne pepper, more or less to taste': '1', 'kosher salt and black pepper': 'seasoning', 'extra virgin olive oil': '2', 'bell peppers, sliced': '3', 'salted butter': '4', 'garlic, minced or grated': '3', 'juice from 1 lemon': 'seasoning', 'steamed rice, for serving': '3', 'avocado, sliced': '1', 'fresh herbs such as basil, cilantro, and or mint': 'seasoning'}","['1. In a medium bowl, toss together the steak, thyme, paprika, chili powder, oregano, onion powder, cayenne, and a pinch each of salt and pepper.', '2. \xa0Heat 1 tablespoon oil in a large skillet over high heat. When the oil shimmers,\xa0add the peppers and season with salt and pepper. Cook 5 minutes or until the peppers are soft and tender, remove from skillet to a plate.', 'Heat 1 tablespoon oil in a large skillet over high heat. When the oil shimmers,', 'add the peppers and season with salt and pepper. Cook 5 minutes or until the peppers are soft and tender, remove from skillet to a plate.', '3. Return the skillet to high heat and add the remaining oil. Add the steak and cook, undisturbed for 3-5 minutes. Stir and cook, undisturbed for another 3-5 minutes until the steak is taking on color. Add the butter and garlic, toss to coat and cook until the garlic is fragrant and caramelized, about 2-3 minutes. Remove from the heat and stir in the lemon juice.', '4. Serve the beef and peppers over rice. Top with avocado and fresh herbs. Enjoy!', '4. Serve the beef and peppers over rice. Top with avocado and fresh herbs. Enjoy!']",725 kcal,6,https://www.halfbakedharvest.com/wp-content/uploads/2019/04/30-Minute-Cajun-Butter-Steak-and-Peppers-1-700x1050.jpg,"['meat - beef - steak', 'thyme', 'paprika', 'chili powder', 'oregano', 'onion powder', 'pepper', 'salt', 'olive oil', 'bell pepper', 'butter', 'garlic', 'lemon', 'rice', 'avocado', 'basil']"
Cauliflower Al Pastor Quesadilla with Lime Smashed Avocado.,{'minutes': '15'},{'minutes': '30'},{'minutes': '45'},"['garlic, minced or grated', 'chili powder', 'smoked paprika', 'chipotle peppers in adobo', 'pineapple juice', 'apple cider or white vinegar', 'fresh pineapple chunks, plus additional pineapple chunks for serving', 'extra virgin olive oil', 'cauliflower, cut into florets', 'of a yellow onion, thinly sliced', 'jalapeño, seeded and diced', 'fresh cilantro, chopped', 'whole wheat or regular flour tortillas', 'shredded sharp cheddar cheese', 'shredded pepper jack cheese', 'extra virgin olive oil, for cooking', 'avocados, mashed', 'juice and zest of 1 lime', 'Maldon sea salt']","{'garlic, minced or grated': '2', 'chili powder': '2', 'smoked paprika': '2', 'chipotle peppers in adobo': '2', 'pineapple juice': '1/2', 'apple cider or white vinegar': '¼', 'fresh pineapple chunks, plus additional pineapple chunks for serving': '2', 'extra virgin olive oil': '2', 'cauliflower, cut into florets': '1', 'of a yellow onion, thinly sliced': '½', 'jalapeño, seeded and diced': '1', 'fresh cilantro, chopped': '1/2', 'whole wheat or regular flour tortillas': '4', 'shredded sharp cheddar cheese': '1/2', 'shredded pepper jack cheese': '1/2', 'extra virgin olive oil, for cooking': 'seasoning', 'avocados, mashed': '2', 'juice and zest of 1 lime': 'seasoning', 'Maldon sea salt': 'seasoning'}","['1. In a blender or food processor combine the garlic, chili powder, paprika, chipotle chilies, pineapple juice, vinegar and 1 cup of the pineapple chunks. Blend until completely smooth.', '2. Heat the olive oil in a large skillet over medium heat. When the oil shimmers, add the cauliflower, onions, and a pinch each of salt and pepper. Cook for 12-15 minutes or until the cauliflower is tender and the onions have caramelized. Reduce the heat to low stir in the pineapple sauce, the remaining cup of pineapple chunks and the jalapeño. Simmer for 8-10 minutes or until the sauce has reduced and coats the cauliflower, there will still be sauce left in the pan. Remove from the heat and stir in the cilantro.', '3. Meanwhile, stir together the avocado, lime juice and zest, and a pinch of salt.', '4. Lay the tortillas flat on a clean counter. On top of 2 tortillas, evenly layer the cheeses and cauliflower, then lay the remaining 2 tortillas on top.', '5. Heat the olive oil in a large skillet over medium heat. When the oil shimmers, place the quesadillas, one at a time, in the skillet and cook until golden on each side, about 4-5 minutes per side. Serve topped with avocado and grilled pineapple.']",695 kcal,4,https://www.halfbakedharvest.com/wp-content/uploads/2019/04/Cauliflower-Al-Pastor-Quesadillas-with-Lime-Smashed-Avocado-1-700x1050.jpg,"['garlic', 'chili powder', 'paprika', 'bell pepper', 'pineapple', 'vinegar', 'olive oil', 'cauliflower', 'onion', 'jalapeño', 'cilantro', 'tortilla', 'cheese', 'avocado', 'lime', 'salt']"
Roasted Lemon Artichoke and Browned Butter Pasta.,{'minutes': '15'},{'minutes': '15'},{'minutes': '30'},"['extra virgin olive oil, plus additional oil for drizzling', 'marinated artichokes drained', 'garlic, smashed', 'zest from 1 lemon', 'fresh thyme leaves', 'crushed red pepper flakes', 'kosher salt and black pepper', 'of your favorite long-cut pasta', 'salted butter', 'raw walnuts, roughly chopped', 'fresh basil, roughly chopped, plus more for serving', 'grated parmesan cheese', 'burrata cheese, torn']","{'extra virgin olive oil, plus additional oil for drizzling': '1/3', 'marinated artichokes drained': '2', 'garlic, smashed': '3', 'zest from 1 lemon': 'seasoning', 'fresh thyme leaves': '1', 'crushed red pepper flakes': '1/2', 'kosher salt and black pepper': 'seasoning', 'of your favorite long-cut pasta': '1', 'salted butter': '3', 'raw walnuts, roughly chopped': '3', 'fresh basil, roughly chopped, plus more for serving': '1', 'grated parmesan cheese': '1/4', 'burrata cheese, torn': '8'}","['1. Preheat the oven to 400 degrees F.', '2. Combine the olive oil, artichokes, garlic, lemon zest, thyme, crushed red pepper flakes, and a pinch each of salt and pepper in a baking dish. Transfer to the oven and roast for 15-20 minutes or until the artichokes are crisp and turning golden.', '3. Meanwhile, bring a large pot of salted water to a boil. Cook the pasta according to package directions until al dente. Reserve 1 cup of the pasta cooking water. Drain the pasta.', '3. Meanwhile, bring a large pot of salted water to a boil. Cook the pasta according to package directions until al dente. Reserve 1 cup of the pasta cooking water. Drain the pasta.', '4. In the bottom of the same pot used to cook the pasta, melted together butter and walnuts over high heat until the butter is browned and the nuts toasted, 3-5 minutes. Remove the walnuts from the pot. Drop the pasta back into pot. Add the basil and parmesan, tossing to combine. Thin the pasta, as desired, with the reserved pasta cooking water. Stir in the roasted artichokes and any oils left in the baking\xa0dish.', 'rop the pasta back into pot. Add the basil and parmesan, tossing to combine. Thin the pasta, as desired, with the reserved pasta cooking water. Stir in the roasted artichokes and any oils left in the', 'dish.', '5.\xa0Divide the pasta among plates and top with freshly torn burrata cheese, a drizzle of oil, the reserved walnuts, and fresh herbs. Enjoy!', 'Divide the pasta among plates and top with freshly torn burrata cheese, a drizzle of oil, the reserved walnuts, and fresh herbs. Enjoy!']",760 kcal,8,https://www.halfbakedharvest.com/wp-content/uploads/2019/04/Roasted-Lemon-Artichoke-and-Browned-Butter-Pasta-1-700x1050.jpg,"['olive oil', 'artichoke', 'garlic', 'lemon', 'thyme', 'red pepper flake', 'salt', 'pasta', 'butter', 'walnut', 'basil', 'cheese']"
Cheesy Potato Chive Galette.,{'minutes': '15'},{'minutes': '25'},{'minutes': '40'},"['frozen puff pasty, thawed', 'extra virgin olive oil', 'fresh basil chopped', 'chopped fresh chives, plus more for serving', 'chopped fresh dill', 'crushed red pepper flakes', 'kosher salt and pepper', 'shredded Gruyère cheese', 'shredded fontina cheese', 'small Yukon gold potatoes, very thinly sliced', 'fresh thyme leaves', 'egg, beaten', 'honey, for serving (optional)']","{'frozen puff pasty, thawed': '1', 'extra virgin olive oil': '3', 'fresh basil chopped': '1/4', 'chopped fresh chives, plus more for serving': '2', 'chopped fresh dill': '1', 'crushed red pepper flakes': '1/2', 'kosher salt and pepper': 'seasoning', 'shredded Gruyère cheese': '1/2', 'shredded fontina cheese': '1/2', 'small Yukon gold potatoes, very thinly sliced': '2', 'fresh thyme leaves': '1', 'egg, beaten': '1', 'honey, for serving (optional)': 'seasoning'}","['1. Preheat the oven to 425 degrees F. Line a baking sheet with parchment paper.', '2. On a lightly floured surface, roll the pastry out into a rectangle about 1/4 inch thick and then transfer to the prepared baking sheet. Prick the pastry with the tines of a fork. Spread the pastry dough with\xa02 tablespoons olive oil,\xa0leaving a 1 inch border around the edges of the dough. Sprinkle evenly with basil, chives, dill, and crushed red pepper flakes. Top with the cheeses.', '2 tablespoons olive oil,', 'leaving a 1 inch border around the edges of the dough. S', 'prinkle evenly with basil, chives, dill, and crushed red pepper flakes. Top with the cheeses.', '3. In a medium bowl, toss the potatoes with the remaining 1 tablespoon olive oil, and thyme. Season with salt and pepper. Arrange the potatoes in an even layer over the cheese, leaving a 1 inch border. Fold the edges up and over the potatoes. Brush the edges of the pastry with egg. Transfer to the oven and bake for 25-30 minutes or until golden brown. It is OK if the edges get dark.', '4. Remove the galette from the oven and top with fresh chives and a drizzle of honey, if desired. Slice and EAT!']",822 kcal,6,https://www.halfbakedharvest.com/wp-content/uploads/2019/04/Cheesy-Potato-Chive-Galette-1-700x1050.jpg,"['puff pastry', 'olive oil', 'basil', 'chive', 'dill', 'red pepper flake', 'salt', 'cheese', 'potato', 'thyme', 'egg', 'honey']"
Vietnamese Rice Noodle Salad with Mushrooms and Spicy Peanut Vinaigrette,{'minutes': '30'},{'minutes': '10'},{'minutes': '40'},"['Portobello mushroom caps, halved', 'sesame oil, or extra virgin olive oil', 'low sodium soy sauce', 'garlic, minced or grated', 'fresh ginger, grated', 'shallots, thinly sliced', 'vermicelli rice noodles', 'romaine lettuce, shredded', 'carrots, shredded', 'green onions, chopped', 'Persian cucumbers, thinly sliced', 'fresh cilantro and mint, roughly chopped', 'roasted peanuts, chopped', 'Fresno or jalapeño pepper, sliced', 'sesame oil', 'rice vinegar', 'chili sauce', 'low sodium soy sauce', 'honey', 'creamy peanut butter', 'juice of 1 lime']","{'Portobello mushroom caps, halved': '4-6', 'sesame oil, or extra virgin olive oil': '2', 'low sodium soy sauce': '2', 'garlic, minced or grated': '2', 'fresh ginger, grated': '1', 'shallots, thinly sliced': '2', 'vermicelli rice noodles': '4', 'romaine lettuce, shredded': '3', 'carrots, shredded': '4', 'green onions, chopped': '3', 'Persian cucumbers, thinly sliced': '2', 'fresh cilantro and mint, roughly chopped': '1/2', 'roasted peanuts, chopped': '1/3', 'Fresno or jalapeño pepper, sliced': '1', 'sesame oil': '1/4', 'rice vinegar': '1/4', 'chili sauce': '2-3', 'honey': '2', 'creamy peanut butter': '1-2', 'juice of 1 lime': 'seasoning'}","['1. Add the mushrooms to a ziplock bag. Next add the oil, soy sauce, garlic, and ginger. Seal the bag and marinate 10 minutes, or in the fridge up to overnight.', '2. Meanwhile, cook the rice noodles according to package directions.', '3. In a large salad bowl, combine the lettuce, carrots, green onions, cucumbers, cilantro, and mint.', '4. To make the vinaigrette. Combine all ingredients in a glass jar or measuring cup and shake (or whisk) until completely smooth.', '5. Preheat your grill, grill pan, or skillet to high. Remove the mushrooms from the marinade and sear for 5 minutes, flip and sear another 5 minutes or until lightly charred on both sides.\xa0Slice into strips.', '6. Heat 1 tablespoon oil in a small skillet over hight heat. Add the shallots and cook, stirring occasionally until caramelized, about 3 minutes. Remove from the pot to the paper towel lined plate. The shallots will crisp as they dry.', '7.\xa0To serve, toss the salad with a few tablespoons of the vinaigrette, then divide the salad among 4 bowls. Add rice noodles and mushrooms to each bowl. Drizzle each bowl with additional vinaigrette and top with shallots, peanuts and chili peppers. Enjoy!', 'To serve, toss the salad with a few tablespoons of the vinaigrette, then divide the salad among 4 bowls. Add rice noodles and mushrooms to each bowl. Drizzle each bowl with additional vinaigrette and top with shallots, peanuts and chili peppers. Enjoy!']",572 kcal,4,https://www.halfbakedharvest.com/wp-content/uploads/2019/04/Vietnamese-Rice-Noodle-Salad-with-Mushrooms-and-Spicy-Peanut-Vinaigrette-1-700x1050.jpg,"['mushroom', 'sesame oil', 'soy sauce', 'garlic', 'ginger', 'shallot', 'rice noodle', 'lettuce', 'carrot', 'onion', 'cucumber', 'cilantro', 'peanut', 'jalapeño', 'vinegar', 'chili sauce', 'honey', 'lime']"
Garlic Butter Creamed Spinach Salmon.,{'minutes': '10'},{'minutes': '15'},{'minutes': '25'},"['salmon filets, skin on or off', 'kosher salt and black pepper', 'extra virgin olive oil', 'salted butter', 'shallot, thinly sliced', 'garlic, minced or grated', 'crushed red pepper flakes', 'canned full-fat coconut milk, or heavy cream', 'cream cheese, cubed', 'grated parmesan cheese', 'fresh baby spinach', 'juice from 1 lemon', 'chopped fresh parsley', 'chopped fresh chives, plus more for serving']","{'salmon filets, skin on or off': '4', 'kosher salt and black pepper': 'seasoning', 'extra virgin olive oil': '2', 'salted butter': '2', 'shallot, thinly sliced': '1', 'garlic, minced or grated': '3', 'crushed red pepper flakes': '1/2', 'canned full-fat coconut milk, or heavy cream': '1', 'cream cheese, cubed': '2', 'grated parmesan cheese': '1/2', 'fresh baby spinach': '4', 'juice from 1 lemon': 'seasoning', 'chopped fresh parsley': '2', 'chopped fresh chives, plus more for serving': '1'}","['1. Season the salmon all over with salt and pepper.', '2. Heat the olive oil in a large skillet over medium heat. When the oil shimmers, add the salmon, skin side down and cook for 2-3 minutes, until the salmon is crisp. Gently flip, and continue cooking the salmon for another 2-3 minutes, or until the salmon is cooked to your liking. Remove from the skillet. If desired, peel away the skin and discard.', '3. To the same skillet, add the butter, shallots, and garlic and cook until the garlic is fragrant, about 2 minutes. Add the crushed red pepper flakes, coconut milk, and cream cheese. Season the sauce with salt and pepper. Bring to a simmer over medium heat, stirring constantly until smooth and creamy. Add the parmesan, and spinach and cook until the spinach is wilted, about 3-5 minutes. Stir in the lemon juice, parsley, and chives. Remove from the heat and slide the salmon back into the sauce.', '4. To serve plate each piece of salmon, then spoon the sauce over top. Serve with additional herbs.']",619 kcal,4,https://www.halfbakedharvest.com/wp-content/uploads/2019/04/Garlic-Butter-Creamed-Spinach-Salmon-2-700x1050.jpg,"['meat - fish - salmon', 'salt', 'olive oil', 'butter', 'shallot', 'garlic', 'red pepper flake', 'coconut milk', 'cheese', 'spinach', 'lemon', 'parsley', 'chive']"
