title,prep_time,cook_time,total_time,ingredients,ingredients with measurement,instructions,calories,servings,images
Blood Orange Champagne Mule.,{'minutes': '5'},-,{'minutes': '5'},"['juice of 1/2 a medium blood orange', 'juice of 1/2 a lime', 'vodka', 'mint', 'chilled ginger beer', 'chilled champagne', 'juice of 2 limes (about 1/2 cup)', 'juice of 2 small blood orange (about 1/2 cup)', '(8 ounces) vodka', 'fresh mint leaves', 'ginger beers, chilled', 'bottle champagne, chilled']","{'juice of 1/2 a medium blood orange': 'seasoning', 'juice of 1/2 a lime': 'seasoning', 'vodka': '1', 'mint': '8', 'chilled ginger beer': '2', 'chilled champagne': 'seasoning', 'juice of 2 limes (about 1/2 cup)': 'seasoning', 'juice of 2 small blood orange (about 1/2 cup)': 'seasoning', '(8 ounces) vodka': '1', 'fresh mint leaves': '1', 'ginger beers, chilled': '2', 'bottle champagne, chilled': '1'}",[],717 kcal,1,https://www.halfbakedharvest.com/wp-content/uploads/2016/12/Blood-Orange-Champagne-Mule-6.jpg
Christmas Ale Sangria.,{'minutes': '10'},-,{'minutes': '10'},"['apple cider', 'vodka', 'dashes orange bitters', 'pears', 'oranges', 'arils from 1 pomegranate', 'cranberries', 'cinnamon sticks', 'bottles Christmas Ale', 'sparkling water']","{'apple cider': '1 1/2', 'vodka': '1/2', 'dashes orange bitters': '6', 'pears': '2', 'oranges': '3', 'arils from 1 pomegranate': 'seasoning', 'cranberries': '1', 'cinnamon sticks': '3', 'bottles Christmas Ale': '5', 'sparkling water': 'seasoning'}",[],331 kcal,8,https://www.halfbakedharvest.com/wp-content/uploads/2016/12/Christmas-Ale-Sangria-8.jpg
Pumpkin Butterbeer Hot Chocolate.,{'minutes': '5'},{'minutes': '10'},{'minutes': '15'},"['whole milk', 'cocoa powder', 'ground cinnamon', 'milk chocolate', 'pumpkin puree', 'butterscotch sauce', 'vanilla extract', 'butter', 'bourbon', 'heavy whipping cream', 'butterscotch sauce', 'vanilla bean', 'unsalted butter', 'packed dark brown sugar', 'kosher salt', 'heavy cream', 'vanilla', 'bourbon']","{'whole milk': '4 1/2', 'cocoa powder': '1/4', 'ground cinnamon': '1', 'milk chocolate': '6', 'pumpkin puree': '1/2', 'butterscotch sauce': '2', 'vanilla extract': '1', 'butter': '2', 'bourbon': '1', 'heavy whipping cream': '1', 'vanilla bean': '1', 'unsalted butter': '4', 'packed dark brown sugar': '1/2', 'kosher salt': '1', 'heavy cream': '1/2', 'vanilla': '1'}",[],1319 kcal,3,https://www.halfbakedharvest.com/wp-content/uploads/2015/10/Pumpkin-Butterbeer-Hot-Chocolate-VIDEO-2.jpg
Spicy Sweet Holiday Storm Cocktail,{'minutes': '5'},{'minutes': '5'},{'minutes': '10'},"['honey', 'jalapeños, sliced', 'fresh ginger', 'cranberry juice', 'vodka', 'St. Germain', 'lemon juice', 'bitters', 'ginger beer', 'sugared cranberries, for serving', 'honey', 'jalapeños, sliced', 'fresh ginger', 'cranberry juice', 'vodka', 'St. Germain', 'lemon juice', 'bitters', 'ginger beers', 'sugared cranberries, for serving']","{'honey': '1/2', 'jalapeños, sliced': '1-2', 'fresh ginger': '6', 'cranberry juice': '2', 'vodka': '2', 'St. Germain': '1/2', 'lemon juice': '1/2', 'bitters': '4', 'ginger beer': '1', 'sugared cranberries, for serving': 'seasoning', 'ginger beers': '6'}","['1. To make the jalapeño honey syrup. In a pot, bring 1/2 cup water, the honey, jalapeños, and ginger to a boil over high heat. Boil 2-3 minutes, then remove from the heat. Let cool, then strain the syrup into a glass jar. This makes enough for 6-8 drinks. The longer you allow the jalapeños to sit, the spicier the syrup.', '2. Rim your glass in sugar, then fill with ice.', '3. Combine the cranberry juice, vodka, St. Germain, lemon juice, bitters, and 1-2 tablespoon jalapeño honey in a cocktail shaker. Stir to combine. Strain into your glass. Top with ginger beer and garnish as desired with cranberries and mint. Enjoy!']",379 kcal,1,https://www.halfbakedharvest.com/wp-content/uploads/2022/11/Spicy-Sweet-Holiday-Storm-Cocktail-2.jpg
Spiced Maple Bourbon Fizz,{'minutes': '5'},{'minutes': '5'},{'minutes': '10'},"['maple syrup', 'cinnamon sticks', 'cardamon pods', 'star anise', 'fresh ginger, sliced', 'zest of 1 orange', 'bourbon', 'lemon juice', 'orange bitters', 'spiced maple syrup', 'champagne, for topping', 'maple syrup', 'cinnamon sticks', 'cardamon pods', 'star anise', 'fresh ginger, sliced', 'zest of 1 orange', 'bourbon', 'lemon juice', 'orange bitters', 'spiced maple syrup', 'champagne, chilled']","{'maple syrup': '1/2', 'cinnamon sticks': '2', 'cardamon pods': '1', 'star anise': '1', 'fresh ginger, sliced': '1', 'zest of 1 orange': 'seasoning', 'bourbon': '1 1/2', 'lemon juice': '4', 'orange bitters': '3-4', 'spiced maple syrup': '3-4', 'champagne, for topping': 'seasoning', 'champagne, chilled': '1'}","['1. To make the spiced maple syrup. In a medium pot, bring 1/2 cup water, the maple, cinnamon, cardamom, star anise, and ginger to a boil over high heat. Boil 2-3 minutes, then remove from the heat. Stir in the orange zest. Let cool, then strain the syrup into a glass jar. This syrup makes enough for about 6 drinks.', '2. In a cocktail shaker, combine 1-2 tablespoons maple syrup, the bourbon, lemon juice, and orange bitters. Add ice and shake. Strain into a glass. Top off with champagne. Garnish with an orange slice and star anise, if desired.']",1457 kcal,1,https://www.halfbakedharvest.com/wp-content/uploads/2021/11/Spiced-Maple-Bourbon-Fizz-1.jpg
The Grave Digger,{'minutes': '5'},-,{'minutes': '5'},"['mezcal or tequila', 'spiced apple cider', 'lemon juice', 'Cointreau', 'rosemary or orange bitters', 'ginger beer, for topping', 'rosemary, for serving']","{'mezcal or tequila': '2', 'spiced apple cider': '2', 'lemon juice': '1/2', 'Cointreau': '1/2', 'rosemary or orange bitters': '2', 'ginger beer, for topping': 'seasoning', 'rosemary, for serving': 'seasoning'}","['1. Fill a cocktail glass with ice.', '2. Combine the mezcal, apple cider, lemon juice, Cointreau, and bitters in a cocktail shaker. Fill with ice and shake until combined, about 1 minute. Strain into your prepared glass. Top with ginger beer and a rosemary sprig.', '3. If desired light the rosemary on fire for a smoky effect.']",537 kcal,1,https://www.halfbakedharvest.com/wp-content/uploads/2021/10/The-Grave-Digger-1.jpg
Pink Vodka Watermelon Lemonade,{'minutes': '10'},{'minutes': '5'},{'minutes': '15'},"['honey or granulated sugar', 'fresh thyme sprigs', 'fresh mint leaves', 'cubed watermelon', 'fresh lemon juice', 'vodka', 'sparkling water, for topping', None, None, None]","{'honey or granulated sugar': '3/4', 'fresh thyme sprigs': '8-12', 'fresh mint leaves': '1', 'cubed watermelon': '7', 'fresh lemon juice': '1 1/4', 'vodka': '1 1/2', 'sparkling water, for topping': '3-4', None: 'seasoning'}","['1. To make the watermelon juice, blend the watermelon in a blender. Strain through a fine-mesh sieve into a pitcher.', '2. In a medium pot, bring 1 cup water, the honey, and thyme to a boil over high heat. Boil 2-3 minutes, then remove from the heat. Pour in the watermelon juice. Stir in the mint, lemon juice, and vodka. Chill until cold. If desired, strain out the thyme and mint.', '3. When ready to serve, fill the pitcher with ice. Pour into glasses and top off each glass with sparkling water. Garnish as desired with watermelon and thyme. Enjoy!']",225 kcal,8,https://www.halfbakedharvest.com/wp-content/uploads/2020/05/Lemon-Thyme-Vodka-Watermelon-Lemonade-1-700x1050.jpg
Blackberry Champagne Mule,{'minutes': '5'},-,{'minutes': '5'},"['fresh or frozen blackberries', 'fresh mint, plus more for topping', 'juice from half of a lime', 'vodka', 'ginger beer', 'champagne, chilled, for topping', 'fresh or frozen blackberries', 'fresh mint leaves', 'juice from 2 limes', 'vodka', 'ginger beers', 'bottle champagne, chilled']","{'fresh or frozen blackberries': '1 1/2', 'fresh mint, plus more for topping': '8', 'juice from half of a lime': 'seasoning', 'vodka': '1 1/2', 'ginger beer': '2', 'champagne, chilled, for topping': 'seasoning', 'fresh mint leaves': '1', 'juice from 2 limes': 'seasoning', 'ginger beers': '2', 'bottle champagne, chilled': '1'}","['1. In a cocktail shaker or glass jar, muddle the blackberries, mint, and lime juice, squashing everything to release the juices. Add the vodka. Fill with ice and shake until combined.', '2. Strain into a champagne or wine glass with ice. Add the ginger beer and top with the champagne. Garnish with mint. Drink and enjoy!']",772 kcal,1,https://www.halfbakedharvest.com/wp-content/uploads/2020/05/Blackberry-Champagne-Mule-1-700x1050.jpg
Watermelon Rosè Paloma,{'minutes': '10'},-,{'minutes': '10'},"['cubed watermelon', 'silver tequila', 'juice from 1/2 lime', 'sparkling or regular Rosè wine, chilled', 'sparkling water', 'flaky sea salt', 'Tajin or 1 teaspoon chili powder', 'granulated sugar', 'zest from 1 lime', 'cubed watermelon', 'silver tequila', 'fresh lime juice', 'sparkling or regular Rosè wine, chilled', 'sparkling waters, for topping', 'flaky sea salt', 'Tajin or 1 teaspoon chili powder', 'granulated sugar', 'zest from 1 lime']","{'cubed watermelon': '4', 'silver tequila': '1 1/2', 'juice from 1/2 lime': 'seasoning', 'sparkling or regular Rosè wine, chilled': '1', 'sparkling water': '1/4', 'flaky sea salt': '1/4', 'Tajin or 1 teaspoon chili powder': '2', 'granulated sugar': '1', 'zest from 1 lime': 'seasoning', 'fresh lime juice': '1', 'sparkling waters, for topping': '3-4'}","['1. To make the watermelon juice, blend 2 cups cubed watermelon in a blender. Strain through a fine-mesh sieve into a pitcher.\xa0Store in the fridge for up to 5 days.', '2. To make the chili lime salt. Combine all the ingredients on a shallow plate. Rim your glasses in salt.', '3. To your cocktail glass, add 1/4 cup watermelon juice, the tequila, lime juice, and the Rosè, gently stir to combine. Add ice, then top off with a splash of sparkling water. Garnish as desired with watermelon and thyme. Enjoy!']",422 kcal,1,https://www.halfbakedharvest.com/wp-content/uploads/2020/05/Watermelon-Rosè-Paloma-1-700x1050.jpg
Spicy Cucumber Margarita.,{'minutes': '10'},-,"{'hours': '1', 'minutes': '10'}","['cucumber slices', 'fresh mint leaves', 'silver tequila', 'orange liquor', 'juice from 1/2 lime juice', 'jalapeño slices', 'honey or sugar, using more or less to your taste', 'ginger beer, for topping', 'pink sea salt or flaky sea salt', 'chipotle chili powder', 'granulated sugar', 'fresh thyme leaves', 'cucumber, sliced', 'fresh mint leaves', 'silver tequila', '(1/2 cup) orange liquor', 'juice from 2 limes', 'jalapeño sliced', 'honey or sugar, using more or less to your taste', 'ginger beer for topping', 'pink sea salt or flaky sea salt', 'chipotle chili powder', 'granulated sugar']","{'cucumber slices': '4-6', 'fresh mint leaves': '1/4', 'silver tequila': '8', 'orange liquor': '1/2', 'juice from 1/2 lime juice': 'seasoning', 'jalapeño slices': '1-2', 'honey or sugar, using more or less to your taste': '2', 'ginger beer, for topping': 'seasoning', 'pink sea salt or flaky sea salt': '1/4', 'chipotle chili powder': '1', 'granulated sugar': '2', 'fresh thyme leaves': 'seasoning', 'cucumber, sliced': '1', '(1/2 cup) orange liquor': '4', 'juice from 2 limes': 'seasoning', 'jalapeño sliced': '1', 'ginger beer for topping': 'seasoning'}","['1. To make the chili salt. Combine the salt, chili powder, and sugar on a shallow plate. Rim your glasses in salt, then fill with ice.', '2. In a cocktail shaker or glass jar, add cucumbers, mint (if using), tequila, orange liquor, lime juice, and honey or sugar. Muddle together, squashing everything to release the juices. Add the jalapeño slices. Fill with ice and shake until combined, about 1 minute, the longer you shake, the spicier it will be.', '3. Strain into your prepared glass. Top with ginger beer, if desired. Garnish as desired with cucumbers and thyme, if desired. Enjoy!']",820 kcal,1,https://www.halfbakedharvest.com/wp-content/uploads/2020/04/Spicy-Cucumber-Margarita-1-700x1050.jpg
Dirty Horchata,{'minutes': '10'},-,"{'hours': '2', 'minutes': '10'}","['uncooked long-grain white rice', 'honey or real maple syrup', 'vanilla extract', 'ground nutmeg', 'ground cinnamon', 'canned coconut milk', 'cold coffee or espresso', 'dark rum or Kahlúa', 'cinnamon sugar, for rimming']","{'uncooked long-grain white rice': '1', 'honey or real maple syrup': '1/3', 'vanilla extract': '2', 'ground nutmeg': '1', 'ground cinnamon': '1 1/2', 'canned coconut milk': '4', 'cold coffee or espresso': '1', 'dark rum or Kahlúa': '2-8', 'cinnamon sugar, for rimming': 'seasoning'}","['1. Combine the rice and 2 1/2 cups steaming hot water in a large bowl. Soak at room temperature\xa0for 2 hours, the rice will not be completely soft, this is OK. Alternately, you can use room temp water and soak for 8 hours or overnight. (see notes for additional methods).', '2. Pour the rice and water into a blender. Blend until creamy, 2 to 3 minutes. Add the honey or maple syrup, vanilla, nutmeg, cinnamon, and a pinch of salt. Blend until combined. Pour the mixture into a large pitcher or jar. Add the milk and stir to combine. Chill until ready to serve. Stir well before serving.', '3. To serve, rim each glass with cinnamon sugar, if desired. Fill glasses with ice. Add the horchata, then pour over the coffee, using an amount to your liking. Add the Kahlua, if using, and stir to combine. Sprinkle with cinnamon. Enjoy!']",530 kcal,6,https://www.halfbakedharvest.com/wp-content/uploads/2020/03/Dirty-Horchata-1-700x1050.jpg
-,-,-,-,-,-,-,-,-,https://www.halfbakedharvest.com/wp-content/uploads/2017/09/Apple-Butter-Old-Fashioned-1-700x1050.jpg
Smoky Harvest Apple Cider Margarita.,{'minutes': '5'},-,{'minutes': '5'},"['cinnamon sugar and flaky sea salt, for the rim', 'mezcal or silver tequila', 'orange liquor', 'apple cider', 'juice from 1/2 a lime', 'maple syrup', 'apple slices and cinnamon sticks, for serving', 'cinnamon sugar and flaky sea salt, for the rim', 'mezcal or silver tequila', 'orange liquor', 'apple cider', 'fresh lime juice', 'maple syrup', 'apple slices and cinnamon, sticks for serving']","{'cinnamon sugar and flaky sea salt, for the rim': 'seasoning', 'mezcal or silver tequila': '12', 'orange liquor': '3-4', 'apple cider': '2', 'juice from 1/2 a lime': 'seasoning', 'maple syrup': '1/4', 'apple slices and cinnamon sticks, for serving': 'seasoning', 'fresh lime juice': '1', 'apple slices and cinnamon, sticks for serving': 'seasoning'}","['1. If desired, rim your glass in salted cinnamon sugar. Mix equal parts cinnamon sugar and sea salt. Run a lime wedge around the rim of the glass and coat in sugar.', '2. Combine the mezcal or tequila, orange liquor, apple cider, lime juice, and maple in a cocktail shaker. Add ice and shake to combine. Strain into the glass.\xa0Garnish with apple slices, rosemary, and cinnamon sticks. If desired light the cinnamon on fire for a smoky effect.']",603 kcal,1,https://www.halfbakedharvest.com/wp-content/uploads/2019/10/Smoky-Harvest-Apple-Cider-Margarita-1-700x1050.jpg
Frozen Mango Mojito-Rita,{'minutes': '5'},-,{'minutes': '5'},"['flaky sea salt', 'silver tequila', 'freshly squeezed lime juice', 'frozen mango chunks', 'honey, more or less to taste', 'fresh mint leaves, plus more for serving', 'ice', 'sparkling, water for topping', 'flaky sea salt', 'silver tequila', 'freshly squeezed lime juice', 'frozen mango chunks', 'honey, more or less to taste', 'fresh mint leaves, plus more for serving', 'ice', 'sparkling water, for topping']","{'flaky sea salt': 'seasoning', 'silver tequila': '1 1/4', 'freshly squeezed lime juice': '1', 'frozen mango chunks': '1', 'honey, more or less to taste': '2', 'fresh mint leaves, plus more for serving': '1', 'ice': '3-4', 'sparkling, water for topping': 'seasoning', 'sparkling water, for topping': 'seasoning'}","['1. Run a lime wedge around the rim of your glass and then coat in salt.', '2. In a blender, combine the tequila, lime juice, mango chunks, honey, and mint. Blend until combined. Add the ice and blend until slushy. Pour into your prepared glass. Top with sparkling water, if desired. Serve with limes and fresh mint. Drink!']",67 kcal,2,https://www.halfbakedharvest.com/wp-content/uploads/2019/07/Frozen-Mango-Mojito-Rita-1-700x1050.jpg
Blackberry Tequila Lemon Cooler,{'minutes': '5'},-,{'minutes': '5'},"['fresh blackberries, plus more for serving', 'fresh thyme leaves, plus more for serving', 'silver tequila', 'Florida’s Natural® Brand Lemonade', 'sparkling water, for topping', 'fresh blackberries, plus more for serving', 'fresh thyme leaves, plus more for serving', 'silver tequila', 'Florida’s Natural® Brand Lemonade', 'sparkling water, for topping']","{'fresh blackberries, plus more for serving': '1', 'fresh thyme leaves, plus more for serving': '2', 'silver tequila': '1', 'Florida’s Natural® Brand Lemonade': '4', 'sparkling water, for topping': 'seasoning'}","['1.\xa0Fill a cocktail glass with ice.', '2. In a cocktail shaker or glass jar, add blackberries and thyme and muddle together, squashing the berries to release the juices from the fruit.\xa0Add the tequila and strain into the prepared glass. Add the lemonade. Top off with sparkling water. Serve with fresh berries and thyme. Drink!']",54 kcal,1,https://www.halfbakedharvest.com/wp-content/uploads/2019/07/Blackberry-Tequila-Lemon-Cooler-1-1-700x1050.jpg
